User-ID,cluster
276725,0
276726,0
276727,0
276729,0
276733,0
276736,0
276737,0
276744,0
276745,0
276746,0
276747,0
276748,0
276751,0
276754,0
276755,0
276760,0
276762,0
276765,0
276768,0
276772,0
276774,0
276780,0
276786,0
276788,0
276796,0
276798,0
276800,0
276803,0
276804,0
276806,0
276808,0
276811,0
276812,0
276813,0
276814,0
276817,0
276820,0
276822,0
276827,0
276828,0
276830,0
276832,0
276833,0
276835,0
276837,0
276838,0
276840,0
276842,0
276847,0
276848,0
276850,0
276852,0
276853,0
276854,0
276856,0
276857,0
276859,0
276861,0
276862,0
276863,0
276866,0
276869,0
276870,0
276872,0
276873,0
276875,0
276878,0
276879,0
276884,0
276887,0
276888,0
276889,0
276890,0
276896,0
276904,0
276905,0
276911,0
276912,0
276915,0
276916,0
276925,0
276927,0
276928,0
276929,0
276934,0
276936,0
276939,0
276943,0
276946,0
276949,0
276950,0
276953,0
276954,0
276957,0
276959,0
276963,0
276964,0
276965,0
276975,0
276981,0
276984,0
276986,0
276988,0
276989,0
276990,0
276992,0
276994,0
276997,0
276998,0
277002,0
277007,0
277009,0
277010,0
277012,0
277018,0
277019,0
277022,0
277023,0
277028,0
277031,0
277032,0
277035,0
277036,0
277040,0
277042,0
277048,0
277051,0
277052,0
277053,0
277056,0
277058,0
277064,0
277065,0
277072,0
277073,0
277074,0
277075,0
277079,0
277085,0
277087,0
277090,0
277094,0
277096,0
277102,0
277107,0
277109,0
277114,0
277116,0
277123,0
277124,0
277128,0
277129,0
277134,0
277135,0
277139,0
277142,0
277143,0
277149,0
277155,0
277157,0
277159,0
277165,0
277168,0
277170,0
277171,0
277176,0
277179,0
277180,0
277183,0
277186,0
277187,0
277188,0
277189,0
277195,0
277196,0
277197,0
277203,0
277205,0
277209,0
277212,0
277220,0
277221,0
277228,0
277229,0
277230,0
277231,0
277232,0
277235,0
277237,0
277240,0
277242,0
277243,0
277244,0
277245,0
277246,0
277249,0
277253,0
277256,0
277257,0
277261,0
277262,0
277265,0
277267,0
277268,0
277269,0
277271,0
277272,0
277274,0
277281,0
277284,0
277285,0
277288,0
277291,0
277292,0
277293,0
277305,0
277314,0
277315,0
277317,0
277330,0
277334,0
277338,0
277339,0
277340,0
277341,0
277343,0
277348,0
277351,0
277353,0
277358,0
277359,0
277363,0
277364,0
277367,0
277369,0
277371,0
277374,0
277375,0
277378,0
277379,0
277380,0
277384,0
277388,0
277389,0
277392,0
277397,0
277399,0
277400,0
277402,0
277405,0
277408,0
277411,0
277413,0
277424,0
277425,0
277427,0
277432,0
277433,0
277434,0
277435,0
277436,0
277439,0
277444,0
277453,0
277457,0
277461,0
277462,0
277466,0
277469,0
277470,0
277471,0
277473,0
277474,0
277478,0
277479,0
277486,0
277488,0
277489,0
277502,0
277506,0
277508,0
277509,0
277513,0
277514,0
277516,0
277517,0
277518,0
277519,0
277523,0
277525,0
277526,0
277527,0
277528,0
277529,0
277530,0
277532,0
277533,0
277535,0
277538,0
277544,0
277547,0
277548,0
277554,0
277556,0
277559,0
277560,0
277562,0
277563,0
277565,0
277568,0
277569,0
277574,0
277575,0
277579,0
277585,0
277586,0
277588,0
277589,0
277590,0
277594,0
277595,0
277596,0
277598,0
277601,0
277605,0
277610,0
277619,0
277622,0
277623,0
277627,0
277629,0
277632,0
277633,0
277636,0
277638,0
277639,0
277641,0
277643,0
277646,0
277647,0
277648,0
277650,0
277651,0
277657,0
277660,0
277662,0
277665,0
277667,0
277680,0
277681,0
277682,0
277687,0
277688,0
277689,0
277691,0
277696,0
277697,0
277698,0
277700,0
277701,0
277705,0
277706,0
277710,0
277711,0
277712,0
277714,0
277716,0
277720,0
277722,0
277727,0
277728,0
277737,0
277740,0
277741,0
277743,0
277744,0
277746,0
277748,0
277752,0
277753,0
277756,0
277759,0
277761,0
277764,0
277765,0
277767,0
277768,0
277769,0
277774,0
277775,0
277776,0
277777,0
277778,0
277779,0
277781,0
277782,0
277783,0
277784,0
277786,0
277787,0
277788,0
277790,0
277791,0
